x,y
0,8.764052346
0.101010101,7.703187511
0.202020202,8.58479859
0.303030303,10.14998411
0.404040404,10.0796792
0.505050505,7.537873635
0.606060606,9.768270236
0.707070707,8.969854913
0.808080808,9.321023572
0.909090909,10.13787123
1.01010101,10.1743466
1.111111111,11.78760684
1.212121212,11.39740136
1.313131313,11.06106896
1.414141414,11.68628748
1.515151515,11.87912887
1.616161616,13.34256392
1.717171717,11.94635689
1.818181818,12.76761316
1.919191919,11.90348002
2.02020202,10.50761624
2.121212121,14.01725496
2.222222222,14.53110287
2.323232323,13.22753195
2.424242424,16.5424819
2.525252525,13.1213919
2.626262626,14.9245464
2.727272727,14.99463433
2.828282828,17.0176277
2.929292929,17.25723756
3.03030303,16.24585652
3.131313131,16.77210191
3.232323232,15.80918395
3.333333333,15.01920353
3.434343434,16.95511815
3.535353535,17.76240958
3.636363636,19.13938159
3.737373737,19.41450106
3.838383838,18.1278247
3.939393939,18.51587907
4.04040404,18.07265916
4.141414141,18.00422449
4.242424242,18.02100254
4.343434343,21.98107843
4.444444444,19.82368115
4.545454545,20.19828933
4.646464646,19.68659858
4.747474747,22.0199146
4.848484848,19.9315567
4.949494949,21.63574457
5.050505051,21.25604859
5.151515152,22.84144795
5.252525253,22.24677062
5.353535354,21.87997388
5.454545455,23.33545414
5.555555556,24.09499854
5.656565657,24.03621419
5.757575758,24.57519917
5.858585859,23.94143548
5.95959596,24.51604671
6.060606061,24.50935773
6.161616162,25.12529532
6.262626263,24.97473251
6.363636364,24.36462649
6.464646465,26.57136554
6.565656566,26.29518876
6.666666667,25.36980165
6.767676768,27.76581256
6.868686869,26.69876224
6.96969697,27.9610363
7.070707071,28.94121177
7.171717172,28.64413443
7.272727273,29.9575825
7.373737374,27.8863863
7.474747475,29.82658407
7.575757576,29.04246264
7.676767677,29.15950588
7.777777778,29.75448367
7.878787879,30.3248111
7.97979798,30.99555928
8.080808081,30.0772744
8.181818182,32.44628103
8.282828283,32.31414729
8.383838384,30.61527147
8.484848485,33.94279765
8.585858586,34.65346493
8.686868687,34.23938563
8.787878788,33.18371153
8.888888889,32.59591405
8.98989899,35.0241487
9.090909091,33.86955033
9.191919192,35.79820265
9.292929293,35.08706286
9.393939394,36.15845722
9.494949495,35.84121488
9.595959596,36.49445196
9.696969697,36.10140911
9.797979798,38.17980989
9.898989899,36.82388179
10,37.40198936
